id,actor_type,structure,service_domains,service_gbv_type,target_groups,region,departement(s),commune(s),coverage_level,forces,gaps,contact_name,contact_role,phone,email,address,latitude,longitude,notes
ST-01,Service étatique,Service Régional de l'Action Sociale (SRAS),Inclusion scolaire; Identification et PEC handicap; accompagnement scolarisation,Prévention; Protection; Référencement/Orientation,Personnes handicapées; personnes âgées; enfants vulnérables,Kolda,Kolda; Vélingara; Médina Yoro Foulah,,Régional,Maillage territorial; bonnes relations autorités,Manque ressources humaines et budget,Modou ANE,Directeur régional,77 369 68 69,sraskld@yahoo.fr,Bloc Administratif Bouna Kane,12.8985,-14.9413,PEC = prise en charge
ST-02,Service étatique,AEMO,Protection enfants en danger; accompagnement familial,Protection; Prévention; Médiation,Enfants,Kolda,Kolda; Vélingara; Médina Yoro Foulah,,Départemental,Ancrage communautaire,Manque logistique,Ansou Boroko MANE,Responsable,77 438 40 59,koldaaemo@gmail.com,Immeuble Doura Baldé,12.8985,-14.9413,
ST-03,Service étatique,Centre Conseil Ado Kolda,Promotion SSR jeunes; prévention grossesses précoces,Prévention; SSR; Référencement,Adolescents et jeunes,Kolda,Kolda,,Départemental,Clubs jeunes dynamiques,Manque médicaments,Babacar SY,Coordonnateur,77 523 25 32,ndioungue01@yahoo.fr,CDEPS Kolda,12.8985,-14.9413,
ST-04,Service étatique,Service Départemental Famille et Solidarités,Promotion droits femmes; protection enfants,Prévention; Protection; Référencement,Population vulnérable,Kolda,Kolda; Vélingara; Médina Yoro Foulah,,Régional,Réseau partenaires solide,Manque logistique,Awa DIOP,Cheffe service,77 538 46 49,,Immeuble Doura Baldé,12.8985,-14.9413,
ST-05,Service étatique,Bureau Genre IEF,Prévention VBG en milieu scolaire,Prévention; Protection,Élèves,Kolda,Kolda,,Départemental,Suivi scolarité filles,Manque ressources financières,Maimouna KANDE,Responsable,77 526 97 63,mounasskande75@gmail.com,IEF Kolda,12.8985,-14.9413,
ST-06,Service étatique,Inspection Médicale des Écoles,Promotion santé scolaire,Prévention; Médical,Élèves,Kolda,Kolda; Vélingara; Médina Yoro Foulah,,Régional,Appui partenaires,Manque RH,Djiby GUISSE,Coordonnateur,77 555 56 70,djiby.guisse1@education.sn,DRS Kolda,12.8985,-14.9413,
ST-07,Service étatique,Centre de Santé Kolda,PEC médicale VBG,Médical; Référencement,Population générale,Kolda,Kolda; Vélingara; Médina Yoro Foulah,,Régional,Circuit de prise en charge,Manque logistique,Mahamany SOUANE,Responsable genre,77 105 58 57,mahamadysouan@yahoo.ca,Centre santé Kolda,12.8985,-14.9413,
ST-08,Service étatique,CEDAF,Autonomisation économique femmes,Psychosocial; Autonomisation,Femmes et filles,Kolda,Kolda; Vélingara; Médina Yoro Foulah,,Régional,Confiance communautaire,Manque financement,Danielle BASSENE,Directrice,77 559 59 93,,Saré Kemo,12.8985,-14.9413,
ST-09,Service étatique,CAOSP,Soutien psychologique survivants,Psychosocial; Référencement,Survivants VBG,Kolda,Kolda; Vélingara; Médina Yoro Foulah,,Régional,Bonne organisation,Lenteur processus,Christian SAGNA,Adjoint directeur,33 996 13 45,sagnac02@gmail.com,Quartier Sikilo,12.8985,-14.9413,
ST-10,Service étatique,ARD Kolda,Autonomisation femmes; développement social,Autonomisation; Référencement,Femmes et jeunes,Kolda,Kolda; Vélingara; Médina Yoro Foulah,,Régional,Collaboration collectivités,Dépendance partenaires,Sada Baldé,Directeur,77 524 83 62,ardkolda1@gmail.com,Saré Moussa Barrage,12.8985,-14.9413,
OSC-01,ONG/Association,FODDE,Promotion groupes vulnérables,Prévention; Sensibilisation,Population générale,Kolda,Kolda,,Local,Reconnaissance communautaire,Résistance MGF,,,,,,12.8985,-14.9413,
OSC-02,ONG/Association,Association La Joie des Orphelins,Accueil et accompagnement survivants,Psychosocial; Hébergement,Enfants et femmes,Kolda,Kolda,,Interrégional,Bonne collaboration acteurs,Ressources limitées,,,,,,12.8985,-14.9413,
OSC-03,ONG/Association,ONG AIDA,Souveraineté alimentaire; leadership jeunes,Prévention indirecte; Autonomisation,Communautés,Kolda,Kolda,,Interrégional,Expérience locale,Accompagnement survivantes à renforcer,,,,,,12.8985,-14.9413,
OSC-04,ONG/Association,CASADES,Accompagnement victimes VBG,Psychosocial; Juridique; Médical,Femmes et filles,Kolda,Kolda,,Interrégional,Équipe pluridisciplinaire,Résistances socioculturelles,,,,,,12.8985,-14.9413,
OSC-05,ONG/Association,ASHUDEB,Santé; autonomisation économique,Prévention; Autonomisation,Femmes et jeunes,Kolda,Kolda,,Interrégional,Expertise SSR,Financement insuffisant,,,,,,12.8985,-14.9413,
OSC-06,ONG/Association,EDUCO,Protection de l'enfance,Prévention; Protection,Enfants,Kolda,Kolda; Médina Yoro Foulah,,Départemental,Bonne collaboration institutionnelle,Contraintes financement,,,,,,12.8985,-14.9413,
OSC-07,ONG/Association,TOSTAN,Transformation normes sociales,Prévention; Mobilisation sociale,Communautés,Kolda,Kolda; Médina Yoro Foulah,,Interrégional,Approche communautaire forte,Manque appui développement local,,,,,,12.8985,-14.9413,
OSC-08,ONG/Association,AMREF Health Africa,Lutte contre MGF,Prévention; Autonomisation,Jeunes filles,Kolda,Kolda,,Interrégional,Collaboration institutions,Réticences communautaires,,,,,,12.8985,-14.9413,
